User-defined 249-group library
group upper bound region
211 1.4200000000e-01 thermal
212 1.2100000000e-01 thermal
213 1.0800000000e-01 thermal
214 9.9200000000e-02 thermal
215 9.2000000000e-02 thermal
216 8.6000000000e-02 thermal
217 8.0900000000e-02 thermal
218 7.6400000000e-02 thermal
219 7.2300000000e-02 thermal
220 6.8700000000e-02 thermal
221 6.5300000000e-02 thermal
222 6.2200000000e-02 thermal
223 5.9300000000e-02 thermal
224 5.6600000000e-02 thermal
225 5.4000000000e-02 thermal
226 5.1600000000e-02 thermal
227 4.9300000000e-02 thermal
228 4.7000000000e-02 thermal
229 4.4900000000e-02 thermal
230 4.2800000000e-02 thermal
231 4.0800000000e-02 thermal
232 3.8900000000e-02 thermal
233 3.7000000000e-02 thermal
234 3.5100000000e-02 thermal
235 3.3300000000e-02 thermal
236 3.1500000000e-02 thermal
237 2.9700000000e-02 thermal
238 2.8000000000e-02 thermal
239 2.6300000000e-02 thermal
240 2.4500000000e-02 thermal
241 2.2800000000e-02 thermal
242 2.1000000000e-02 thermal
243 1.9200000000e-02 thermal
244 1.7400000000e-02 thermal
245 1.5500000000e-02 thermal
246 1.3600000000e-02 thermal
247 1.1400000000e-02 thermal
248 9.0600000000e-03 thermal
249 6.1800000000e-03 thermal
250 1.0000000000e-05 thermal

