SHEM 244-group library
group upper bound region
231 7.64969E-02 thermal
232 6.51999E-02 thermal
233 5.54982E-02 thermal
234 4.73019E-02 thermal
235 4.02999E-02 thermal
236 3.43998E-02 thermal
237 2.92989E-02 thermal
238 2.49394E-02 thermal
239 2.00104E-02 thermal
240 1.48300E-02 thermal
241 1.04505E-02 thermal
242 7.14526E-03 thermal
243 4.55602E-03 thermal
244 2.49990E-03 thermal
245 1.00000E-05 thermal

