SHEM 281-group library
group upper bound region
1 2.00000E+07 fast
2 1.49182E+07 fast
3 1.38403E+07 fast
4 1.16183E+07 fast
5 9.99999E+06 fast
6 9.04836E+06 fast
7 8.18730E+06 fast
8 7.40817E+06 fast
9 6.70319E+06 fast
10 6.06530E+06 fast
11 4.96585E+06 fast
12 4.06569E+06 fast
13 3.32871E+06 fast
14 2.72531E+06 fast
15 2.23130E+06 fast
16 1.90139E+06 fast
17 1.63654E+06 fast
18 1.40577E+06 fast
19 1.33694E+06 fast
20 1.28696E+06 fast
21 1.16205E+06 fast
22 1.05115E+06 fast
23 9.51119E+05 fast
24 8.60006E+05 fast
25 7.06511E+05 fast
26 5.78443E+05 fast
27 4.94002E+05 fast
28 4.56021E+05 fast
29 4.12501E+05 fast
30 3.83884E+05 fast
31 3.20646E+05 fast
32 2.67826E+05 fast
33 2.30014E+05 fast
34 1.95008E+05 fast
35 1.64999E+05 fast
36 1.40000E+05 fast
37 1.22773E+05 fast
38 1.15624E+05 fast
39 9.46645E+04 fast
40 8.22974E+04 fast
41 6.73794E+04 fast
42 5.51656E+04 fast
43 4.99159E+04 fast
44 4.08677E+04 fast
45 3.69786E+04 fast
46 3.34596E+04 fast
47 2.92810E+04 fast
48 2.73944E+04 fast
49 2.61001E+04 fast
50 2.49991E+04 resonance
51 2.26994E+04 resonance
52 1.85847E+04 resonance
53 1.62005E+04 resonance
54 1.48997E+04 resonance
55 1.36037E+04 resonance
56 1.11377E+04 resonance
57 9.11881E+03 resonance
58 7.46585E+03 resonance
59 6.11252E+03 resonance
60 5.00451E+03 resonance
61 4.09735E+03 resonance
62 3.48107E+03 resonance
63 2.99618E+03 resonance
64 2.57884E+03 resonance
65 2.21963E+03 resonance
66 1.91045E+03 resonance
67 1.61404E+03 resonance
68 1.34506E+03 resonance
69 1.13501E+03 resonance
70 1.06496E+03 resonance
71 9.07501E+02 resonance
72 7.48517E+02 resonance
73 6.12834E+02 resonance
74 5.01746E+02 resonance
75 4.10795E+02 resonance
76 3.53575E+02 resonance
77 3.19928E+02 resonance
78 2.83750E+02 resonance
79 2.41796E+02 resonance
80 1.97966E+02 resonance
81 1.62081E+02 resonance
82 1.32701E+02 resonance
83 1.08646E+02 resonance
84 8.89518E+01 resonance
85 7.50455E+01 resonance
86 6.14420E+01 resonance
87 5.26726E+01 resonance
88 4.57913E+01 resonance
89 4.39958E+01 resonance
90 4.01690E+01 resonance
91 3.37201E+01 resonance
92 2.76077E+01 resonance
93 2.46086E+01 resonance
94 2.25356E+01 resonance
95 2.23784E+01 resonance
96 2.21557E+01 resonance
97 2.20011E+01 resonance
98 2.17018E+01 resonance
99 2.14859E+01 resonance
100 2.13360E+01 resonance
101 2.12296E+01 resonance
102 2.11448E+01 resonance
103 2.10604E+01 resonance
104 2.09763E+01 resonance
105 2.07676E+01 resonance
106 2.06847E+01 resonance
107 2.06021E+01 resonance
108 2.05199E+01 resonance
109 2.04175E+01 resonance
110 2.02751E+01 resonance
111 2.00734E+01 resonance
112 1.95974E+01 resonance
113 1.93927E+01 resonance
114 1.91997E+01 resonance
