SHEM 281-group library
115 1.90848E+01 resonance
116 1.79591E+01 resonance
117 1.77590E+01 resonance
118 1.75648E+01 resonance
119 1.74457E+01 resonance
120 1.68305E+01 resonance
121 1.65501E+01 resonance
122 1.60498E+01 resonance
123 1.57792E+01 resonance
124 1.48662E+01 resonance
125 1.47301E+01 resonance
126 1.45952E+01 resonance
127 1.44702E+01 resonance
128 1.42505E+01 resonance
129 1.40496E+01 resonance
130 1.35460E+01 resonance
131 1.33297E+01 resonance
132 1.26000E+01 resonance
133 1.24721E+01 resonance
134 1.23086E+01 resonance
135 1.21302E+01 resonance
136 1.19795E+01 resonance
137 1.18153E+01 resonance
138 1.17094E+01 resonance
139 1.15894E+01 resonance
140 1.12694E+01 resonance
141 1.10529E+01 resonance
142 1.08038E+01 resonance
143 1.05793E+01 resonance
144 9.50002E+00 resonance
145 9.14031E+00 resonance
146 8.97995E+00 resonance
147 8.80038E+00 resonance
148 8.67369E+00 resonance
149 8.52407E+00 resonance
150 8.30032E+00 resonance
151 8.13027E+00 resonance
152 7.97008E+00 resonance
153 7.83965E+00 resonance
154 7.73994E+00 resonance
155 7.60035E+00 resonance
156 7.38015E+00 resonance
157 7.13987E+00 resonance
158 6.99429E+00 resonance
159 6.91778E+00 resonance
160 6.87021E+00 resonance
161 6.83526E+00 resonance
162 6.81070E+00 resonance
163 6.79165E+00 resonance
164 6.77605E+00 resonance
165 6.75981E+00 resonance
166 6.74225E+00 resonance
167 6.71668E+00 resonance
168 6.63126E+00 resonance
169 6.60611E+00 resonance
170 6.58829E+00 resonance
171 6.57184E+00 resonance
172 6.55609E+00 resonance
173 6.53907E+00 resonance
174 6.51492E+00 resonance
175 6.48178E+00 resonance
176 6.43206E+00 resonance
177 6.35978E+00 resonance
178 6.28016E+00 resonance
179 6.16011E+00 resonance
180 6.05991E+00 resonance
181 5.96014E+00 resonance
182 5.80021E+00 resonance
183 5.72015E+00 resonance
184 5.61979E+00 resonance
185 5.53004E+00 resonance
186 5.48817E+00 resonance
187 5.41025E+00 resonance
188 5.38003E+00 resonance
189 5.32011E+00 resonance
190 5.21008E+00 resonance
191 5.10997E+00 resonance
192 4.93323E+00 resonance
193 4.76785E+00 resonance
194 4.41980E+00 resonance
195 4.30981E+00 resonance
196 4.21983E+00 resonance
197 4.00000E+00 resonance
198 3.88217E+00 resonance
199 3.71209E+00 resonance
200 3.54307E+00 resonance
201 3.14211E+00 resonance
202 2.88405E+00 thermal
203 2.77512E+00 thermal
204 2.74092E+00 thermal
205 2.71990E+00 thermal
206 2.70012E+00 thermal
207 2.64004E+00 thermal
208 2.62005E+00 thermal
209 2.59009E+00 thermal
210 2.55000E+00 thermal
211 2.46994E+00 thermal
212 2.33006E+00 thermal
213 2.27299E+00 thermal
214 2.21709E+00 thermal
215 2.15695E+00 thermal
216 2.07010E+00 thermal
217 1.98992E+00 thermal
218 1.90008E+00 thermal
219 1.77997E+00 thermal
220 1.66895E+00 thermal
221 1.58803E+00 thermal
222 1.51998E+00 thermal
223 1.44397E+00 thermal
224 1.41001E+00 thermal
225 1.38098E+00 thermal
226 1.33095E+00 thermal
227 1.29304E+00 thermal
228 1.25094E+00 thermal
229 1.21397E+00 thermal
230 1.16999E+00 thermal
231 1.14797E+00 thermal
232 1.12997E+00 thermal
233 1.11605E+00 thermal
234 1.10395E+00 thermal
235 1.09198E+00 thermal
236 1.07799E+00 thermal
237 1.03499E+00 thermal
238 1.02101E+00 thermal
239 1.00904E+00 thermal
240 9.96501E-01 thermal
241 9.81959E-01 thermal
242 9.63960E-01 thermal
243 9.44022E-01 thermal
244 9.19978E-01 thermal
245 8.80024E-01 thermal
246 8.00371E-01 thermal
247 7.19999E-01 thermal
248 6.24999E-01 thermal
249 5.94993E-01 thermal
250 5.54990E-01 thermal
251 5.20011E-01 thermal
252 4.75017E-01 thermal
253 4.31579E-01 thermal
254 3.90001E-01 thermal
255 3.52994E-01 thermal
256 3.25008E-01 thermal
257 3.05012E-01 thermal
258 2.79989E-01 thermal
259 2.54997E-01 thermal
260 2.31192E-01 thermal
261 2.09610E-01 thermal
262 1.90005E-01 thermal
263 1.61895E-01 thermal
264 1.37999E-01 thermal
265 1.19995E-01 thermal
266 1.04298E-01 thermal
267 8.97968E-02 thermal
268 7.64969E-02 thermal
269 6.51999E-02 thermal
270 5.54982E-02 thermal
271 4.73019E-02 thermal
272 4.02999E-02 thermal
273 3.43998E-02 thermal
274 2.92989E-02 thermal
275 2.49394E-02 thermal
276 2.00104E-02 thermal
277 1.48300E-02 thermal
278 1.04505E-02 thermal
279 7.14526E-03 thermal
280 4.55602E-03 thermal
281 2.49990E-03 thermal
282 1.00000E-05 thermal
